experiment,epoch,lr,loss,acc,val_loss,val_acc
1.0,1.0,0.0001,2.7116961471344294,0.28241335044929394,3.1777993738651276,0.38660714285714287
1.0,2.0,0.0001,1.5488091558218002,0.503576013203741,3.8477242588996887,0.48452380952380947
1.0,3.0,0.0001,1.1888940236286114,0.6205758298184486,3.641939878463745,0.5262896825396826
1.0,4.0,0.0001,0.979550223405424,0.6924628644782689,2.278404340147972,0.6689484126984128
1.0,5.0,0.0001,0.7832370680805884,0.7581147991931048,2.480986177921295,0.6686507936507936
1.0,6.0,0.0001,0.5716329306167992,0.8263341280029342,2.995355263352394,0.6793650793650794
1.0,7.0,0.0001,0.4534129555778284,0.8582431688978543,2.4050149619579315,0.6967261904761904
1.0,8.0,0.0001,0.2937576172530259,0.9064735008252338,2.5196129977703094,0.714186507936508
1.0,9.0,0.0001,0.23889113430816092,0.9244452594901889,2.695200562477112,0.714186507936508
1.0,10.0,0.0001,0.22806513360027517,0.9308637447276729,3.168209820985794,0.7001984126984127
1.0,11.0,0.0001,0.18292166556746356,0.9470016504676325,3.073917955160141,0.6860119047619047
1.0,12.0,0.0001,0.15766170015099065,0.9528699798276178,3.2325077056884766,0.693154761904762
1.0,13.0,0.0001,0.1428009891288208,0.9570878415551073,3.0720862448215485,0.7352182539682539
1.0,14.0,0.0001,0.12636080369319594,0.9598386209426004,2.938629224896431,0.7383928571428572
1.0,15.0,0.0001,0.16390741944824663,0.9552539886301119,3.336388111114502,0.7211309523809524
1.0,16.0,0.0001,0.1542335476122772,0.9570878415551073,3.329738989472389,0.745436507936508
1.0,17.0,0.0001,0.1369518783319922,0.9624060150375939,3.7665220499038696,0.7351190476190476
1.0,18.0,0.0001,0.13445296281009322,0.9618558591600953,4.771617561578751,0.6515873015873016
1.0,19.0,0.0001,0.12481747347743821,0.9668072620575829,3.372602239251137,0.7698412698412699
1.0,20.0,0.0001,0.10701582931965516,0.9713918943700716,3.84187388420105,0.7383928571428572
1.0,21.0,0.0001,0.1204796695420124,0.9710251237850724,3.8630960881710052,0.7384920634920635
1.0,22.0,0.0001,0.16554436672777229,0.9618558591600953,4.547799378633499,0.7526785714285714
1.0,23.0,0.0001,0.15588282385029792,0.9611223179900972,4.224495559930801,0.7558531746031746
1.0,24.0,0.0001,0.1564486936603029,0.9642398679625894,3.9191359281539917,0.745436507936508
1.0,25.0,0.0001,0.11396059768537127,0.9735925178800661,4.505814433097839,0.7452380952380953
1.0,26.0,0.0001,0.09863945420791329,0.977626994315056,4.180410474538803,0.7245039682539683
1.0,27.0,0.0001,0.0898341514013294,0.9803777737025491,4.5642935782670975,0.7558531746031746
1.0,28.0,0.0001,0.10136127611651832,0.9759765266825601,4.604295134544373,0.7489087301587302
1.0,29.0,0.0001,0.07188752708353563,0.9803777737025491,4.903695076704025,0.7663690476190476
1.0,30.0,0.0001,0.11363223528819931,0.975609756097561,4.4139933586120605,0.755952380952381
1.0,31.0,0.0001,0.09817742479062244,0.9770768384375573,5.261971175670624,0.745436507936508
1.0,32.0,0.0001,0.09642823583104282,0.9768934531450578,5.212583780288696,0.7280753968253969
1.0,33.0,0.0001,0.10464166201175604,0.9768934531450578,6.186047375202179,0.7209325396825397
1.0,34.0,0.0001,0.18259639623534452,0.9660737208875848,5.433630853891373,0.755952380952381
1.0,35.0,0.0001,0.1609754794991581,0.9704749679075738,5.826413720846176,0.7804563492063491
1.0,36.0,0.0001,0.14613985992542106,0.9721254355400697,5.173132658004761,0.7697420634920635
1.0,37.0,0.0001,0.12534964574140461,0.9748762149275628,5.1852864027023315,0.7662698412698413
1.0,38.0,0.0001,0.08161798763247263,0.9834953236750412,5.3155225813388824,0.7661706349206349
1.0,39.0,0.0001,0.05929010956831791,0.9877131854025307,4.989900976419449,0.7973214285714285
1.0,40.0,0.0001,0.071865588085533,0.9851457913075371,5.690520867705345,0.7939484126984128
1.0,41.0,0.0001,0.10194197627211908,0.982028241335045,5.217374742031097,0.7629960317460317
1.0,42.0,0.0001,0.0975223476035745,0.982028241335045,5.939649522304535,0.7593253968253969
1.0,43.0,0.0001,0.08989216288606477,0.9845956354300385,6.165591821074486,0.773313492063492
1.0,44.0,0.0001,0.0572578493970428,0.9886301118650285,5.037599787116051,0.7803571428571429
1.0,45.0,0.0001,0.06585138526132824,0.9860627177700348,4.682708889245987,0.7906746031746031
1.0,46.0,0.0001,0.09767600133849284,0.9812947001650467,5.0291173458099365,0.8118055555555556
1.0,47.0,0.0001,0.06445185678403348,0.9866128736475335,5.7967453598976135,0.7627976190476192
1.0,48.0,0.0001,0.13177893605753419,0.9792774619475518,5.938650071620941,0.745436507936508
1.0,49.0,0.0001,0.11840190929977386,0.9805611589950486,6.628573924303055,0.7592261904761904
1.0,50.0,0.0001,0.06059824979515366,0.9880799559875298,6.207193166017532,0.7383928571428571
1.0,51.0,0.0001,0.07111154588176163,0.9858793324775353,6.209329694509506,0.7731150793650795
1.0,52.0,0.0001,0.08381708997476058,0.9833119383825417,7.093043923377991,0.7490079365079364
1.0,53.0,0.0001,0.10815799603307896,0.982395011920044,6.924149870872498,0.7594246031746031
1.0,54.0,0.0001,0.08533337061957266,0.9849624060150376,6.708909094333649,0.7418650793650794
1.0,55.0,0.0001,0.09765375203509483,0.9827617825050431,6.246347188949585,0.7735119047619047
1.0,56.0,0.0001,0.08749520381120716,0.9853291766000367,6.579843491315842,0.7803571428571429
1.0,57.0,0.0001,0.07396022997054459,0.9878965706950302,7.099873900413513,0.7734126984126984
1.0,58.0,0.0001,0.06804948359971466,0.9904639647900239,7.733924955129623,0.755952380952381
1.0,59.0,0.0001,0.05956276410399144,0.9891802677425271,6.982693791389465,0.7801587301587302
1.0,60.0,0.0001,0.06571369662736727,0.9884467265725289,6.64360636472702,0.7801587301587302
1.0,61.0,0.0001,0.07204629702998241,0.9877131854025307,6.35457119345665,0.7837301587301587
1.0,62.0,0.0001,0.08503505221948221,0.9860627177700348,7.363768577575684,0.7873015873015873
1.0,63.0,0.0001,0.058331998951755094,0.9889968824500275,7.296702712774277,0.7628968253968254
1.0,64.0,0.0001,0.08259610268330635,0.9851457913075371,6.685132324695587,0.7593253968253969
1.0,65.0,0.0001,0.08802383620413189,0.9862461030625344,6.776162356138229,0.7942460317460317
1.0,66.0,0.0001,0.05830074867457377,0.9902805794975243,6.821181416511536,0.7874007936507936
1.0,67.0,0.0001,0.07507631797458558,0.990830735375023,7.234868794679642,0.7940476190476191
1.0,68.0,0.0001,0.09209909131280561,0.9869796442325326,7.517921507358551,0.7765873015873016
1.0,69.0,0.0001,0.07828042563225457,0.9897304236200257,7.522065341472626,0.7941468253968255
1.0,70.0,0.0001,0.05759220316218356,0.9889968824500275,6.806479513645172,0.7803571428571429
1.0,71.0,0.0001,0.038729597990796755,0.9915642765450211,7.12495219707489,0.7768849206349205
1.0,72.0,0.0001,0.05564777598474867,0.9919310471300202,7.384464353322983,0.7697420634920634
1.0,73.0,0.0001,0.019599587831482645,0.9954153676875115,6.242185860872269,0.8047619047619047
1.0,74.0,0.0001,0.04568304432232495,0.9926645883000184,6.962516695261002,0.794047619047619
1.0,75.0,0.0001,0.05944280492853835,0.9886301118650285,7.394405961036682,0.7837301587301587
1.0,76.0,0.0001,0.07602455328633304,0.9889968824500275,6.4126119911670685,0.8115079365079366
1.0,77.0,0.0001,0.111536918278615,0.9840454795525398,6.724828004837036,0.7873015873015873
1.0,78.0,0.0001,0.09436851155534838,0.9871630295250321,7.588079571723938,0.7698412698412698
1.0,79.0,0.0001,0.09721346653781081,0.9866128736475335,7.001852765679359,0.8152777777777777
1.0,80.0,0.0001,0.12705605287576094,0.9855125618925362,7.794303834438324,0.7629960317460317
1.0,81.0,0.0001,0.0678729590780867,0.9893636530350266,7.203304350376129,0.8012896825396826
1.0,82.0,0.0001,0.02922115222140374,0.9946818265175132,7.234142303466797,0.7976190476190477
1.0,83.0,0.0001,0.035393982472305255,0.993581514762516,6.722498118877411,0.8010912698412699
1.0,84.0,0.0001,0.03126975707728816,0.9946818265175132,7.376847475767136,0.7768849206349208
1.0,85.0,0.0001,0.06197480958191225,0.991197505960022,7.977922976016998,0.7873015873015873
1.0,86.0,0.0001,0.05426576198653208,0.9922978177150192,6.761041164398193,0.8256944444444444
1.0,87.0,0.0001,0.08186105962188808,0.9878965706950302,7.350421160459518,0.7943452380952382
1.0,88.0,0.0001,0.08065979340516985,0.9895470383275261,7.925219148397446,0.7456349206349207
1.0,89.0,0.0001,0.061005902916391595,0.9917476618375206,7.495389878749847,0.8151785714285714
1.0,90.0,0.0001,0.04576036868457788,0.9924812030075187,7.63848415017128,0.7802579365079365
1.0,91.0,0.0001,0.0758430882164524,0.9904639647900239,7.47970175743103,0.8011904761904761
1.0,92.0,0.0001,0.08074778792373191,0.9878965706950302,8.212105214595795,0.7910714285714285
1.0,93.0,0.0001,0.04704465183118937,0.9922978177150192,6.988820195198059,0.7875
1.0,94.0,0.0001,0.04664751741177309,0.9941316706400146,7.681169331073761,0.790873015873016
1.0,95.0,0.0001,0.056663743464524845,0.9910141206675225,8.015479266643524,0.7942460317460317
1.0,96.0,0.0001,0.03020596534721253,0.9944984412250137,7.544048756361008,0.8046626984126983
1.0,97.0,0.0001,0.02611551291811991,0.9961489088575096,7.591730296611786,0.801488095238095
1.0,98.0,0.0001,0.036684268697477374,0.9928479735925179,9.149413108825684,0.7803571428571429
1.0,99.0,0.0001,0.047750880512535114,0.9930313588850174,7.903970301151276,0.7944444444444444
1.0,100.0,0.0001,0.06338979300913883,0.9917476618375206,8.159725844860077,0.7840277777777777
2.0,1.0,0.0001,3.030622354463527,0.29286631212176784,4.553671032190323,0.3658730158730159
2.0,2.0,0.0001,1.5429183405480886,0.49862461030625344,3.1878720819950104,0.5226190476190475
2.0,3.0,0.0001,1.2112201816941564,0.609205941683477,3.03061081469059,0.5890873015873016
2.0,4.0,0.0001,0.8722009801943051,0.7247386759581882,2.3233982026576996,0.6552579365079366
2.0,5.0,0.0001,0.6478499141766837,0.8021272693929947,1.8295298218727112,0.7666666666666667
2.0,6.0,0.0001,0.47028189191692754,0.8525582248303686,2.079077050089836,0.7631944444444445
2.0,7.0,0.0001,0.34954531907447073,0.8874014304052815,2.0245612263679504,0.7389880952380952
2.0,8.0,0.0001,0.27884398986536424,0.9083073537502292,2.163354530930519,0.7459325396825396
2.0,9.0,0.0001,0.23804325413105912,0.9220612506876948,1.9877036809921265,0.766765873015873
2.0,10.0,0.0001,0.17758080192939624,0.9470016504676325,2.397752493619919,0.7284722222222223
2.0,11.0,0.0001,0.1538608878097301,0.9497524298551256,2.1759677827358246,0.7735119047619048
2.0,12.0,0.0001,0.16452500242801188,0.9545204474601137,2.1073127537965775,0.7703373015873015
2.0,13.0,0.0001,0.11421771253088464,0.9649734091325876,3.0874449014663696,0.763095238095238
2.0,14.0,0.0001,0.11308397700754301,0.9651567944250871,3.0391440391540527,0.7666666666666667
2.0,15.0,0.0001,0.1767830720690606,0.9517696680726205,2.7100012600421906,0.7633928571428571
2.0,16.0,0.0001,0.16038070613170644,0.9587383091876032,2.911205530166626,0.7598214285714285
2.0,17.0,0.0001,0.10337193033266981,0.9723088208325692,2.607769399881363,0.75625
2.0,18.0,0.0001,0.16171616765419267,0.958004768017605,3.6028105318546295,0.7563492063492063
2.0,19.0,0.0001,0.13920544649131203,0.9620392444525949,2.7904700487852097,0.8191468253968254
2.0,20.0,0.0001,0.10246451093139274,0.973225747295067,3.223940834403038,0.7910714285714285
2.0,21.0,0.0001,0.10524338552535913,0.9717586649550706,3.393779069185257,0.766765873015873
2.0,22.0,0.0001,0.12578886865574196,0.9684577296900788,2.9416037797927856,0.7844246031746032
2.0,23.0,0.0001,0.11216920053643183,0.9730423620025674,3.4910168647766113,0.8051587301587302
2.0,24.0,0.0001,0.0926354284216646,0.9778103796075555,3.6704398542642593,0.7808531746031746
2.0,25.0,0.0001,0.11036861033253924,0.9726755914175683,3.419700503349304,0.7947420634920634
2.0,26.0,0.0001,0.14734807723128765,0.9677241885200807,4.032414644956589,0.7981150793650793
2.0,27.0,0.0001,0.10097568900542192,0.9759765266825601,3.2067381888628006,0.7981150793650793
2.0,28.0,0.0001,0.10498694694864316,0.975609756097561,4.031972587108612,0.7843253968253969
2.0,29.0,0.0001,0.10642230431831852,0.9748762149275628,4.178085833787918,0.7874999999999999
2.0,30.0,0.0001,0.1037776854832129,0.9768934531450578,4.123447149991989,0.7980158730158731
2.0,31.0,0.0001,0.15691931221198574,0.9702915826150743,4.118846163153648,0.7807539682539683
2.0,32.0,0.0001,0.10905349883721197,0.9761599119750596,4.586549013853073,0.7981150793650793
2.0,33.0,0.0001,0.106479716365026,0.9757931413900606,3.8560947328805923,0.8086309523809523
2.0,34.0,0.0001,0.14817253240910738,0.9710251237850724,4.474335223436356,0.804861111111111
2.0,35.0,0.0001,0.11858629124564408,0.9752429855125619,4.036482438445091,0.8083333333333332
2.0,36.0,0.0001,0.06983314945792422,0.9862461030625344,3.814501076936722,0.7944444444444444
2.0,37.0,0.0001,0.07889013864111412,0.9838620942600403,3.538649708032608,0.8365079365079366
2.0,38.0,0.0001,0.06747365580626233,0.984412250137539,4.6374499797821045,0.798015873015873
2.0,39.0,0.0001,0.07772445598833315,0.984412250137539,4.057229444384575,0.8086309523809523
2.0,40.0,0.0001,0.06274863674721645,0.9866128736475335,4.488894388079643,0.8225198412698413
2.0,41.0,0.0001,0.06375076697919205,0.9834953236750412,4.986288279294968,0.7983134920634921
2.0,42.0,0.0001,0.11073847028245008,0.9803777737025491,4.6039105504751205,0.8156746031746032
2.0,43.0,0.0001,0.1196105797452044,0.9781771501925546,4.107489988207817,0.7843253968253967
2.0,44.0,0.0001,0.0828790193340174,0.9849624060150376,5.0754053592681885,0.7981150793650792
2.0,45.0,0.0001,0.09044819382467058,0.9834953236750412,5.428638726472855,0.7911706349206348
2.0,46.0,0.0001,0.07663816343671491,0.9855125618925362,4.843349739909172,0.8189484126984127
2.0,47.0,0.0001,0.08754181187919395,0.9822116266275445,4.898579686880112,0.8052579365079365
2.0,48.0,0.0001,0.11607020160388484,0.9798276178250505,4.977530002593994,0.8156746031746032
2.0,49.0,0.0001,0.07959510117706026,0.9860627177700348,5.200215250253677,0.8259920634920637
2.0,50.0,0.0001,0.10792425892479934,0.9851457913075371,5.60322779417038,0.8084325396825397
2.0,51.0,0.0001,0.05756031928350919,0.9860627177700348,5.155521780252457,0.812202380952381
2.0,52.0,0.0001,0.06566092895946374,0.988813497157528,5.658936023712158,0.7981150793650793
2.0,53.0,0.0001,0.06508022517716128,0.988813497157528,5.552415266633034,0.8225198412698413
2.0,54.0,0.0001,0.06122969581288616,0.9897304236200257,5.831840425729752,0.794642857142857
2.0,55.0,0.0001,0.07066288464590242,0.9882633412800294,6.018594682216644,0.8017857142857142
2.0,56.0,0.0001,0.05338391792234464,0.9897304236200257,6.359715312719345,0.7874007936507936
2.0,57.0,0.0001,0.0830365455310003,0.986429488355034,6.09076201915741,0.7979166666666666
2.0,58.0,0.0001,0.07043774132882111,0.9877131854025307,5.921111762523651,0.7842261904761905
2.0,59.0,0.0001,0.10309034036797837,0.9836787089675408,6.440651953220367,0.8083333333333333
2.0,60.0,0.0001,0.07297620263120023,0.9882633412800294,6.316828727722168,0.8121031746031746
2.0,61.0,0.0001,0.1045304578693086,0.9838620942600403,5.974945902824402,0.812202380952381
2.0,62.0,0.0001,0.04907045868261966,0.9902805794975243,5.570667564868927,0.8086309523809523
2.0,63.0,0.0001,0.08496419125004472,0.9871630295250321,6.1028569638729095,0.798015873015873
2.0,64.0,0.0001,0.0733821951270086,0.9873464148175316,4.438953936100006,0.8364087301587302
2.0,65.0,0.0001,0.07611604114033108,0.9877131854025307,5.418146401643753,0.7946428571428571
2.0,66.0,0.0001,0.08169262003184237,0.9869796442325326,5.873361587524414,0.8260912698412698
2.0,67.0,0.0001,0.10658857391942915,0.9873464148175316,5.814527720212936,0.8328373015873015
2.0,68.0,0.0001,0.08073355157554454,0.9882633412800294,6.442684426903725,0.7841269841269841
2.0,69.0,0.0001,0.052192414165667764,0.9902805794975243,6.497655093669891,0.7875
2.0,70.0,0.0001,0.05849902647346681,0.9895470383275261,6.588231593370438,0.8188492063492063
2.0,71.0,0.0001,0.06379393463209937,0.9897304236200257,6.4138926565647125,0.8155753968253967
2.0,72.0,0.0001,0.0825636462537718,0.9895470383275261,5.653426349163055,0.8156746031746032
2.0,73.0,0.0001,0.06391114275289042,0.9900971942050247,6.538090527057648,0.8153769841269841
2.0,74.0,0.0001,0.050775884224483446,0.9928479735925179,6.84516829252243,0.794642857142857
2.0,75.0,0.0001,0.06845765362972024,0.9891802677425271,6.040137588977814,0.8189484126984127
2.0,76.0,0.0001,0.07123035956726405,0.9899138089125252,6.784583121538162,0.7879960317460317
2.0,77.0,0.0001,0.06712122981562592,0.9915642765450211,6.461974591016769,0.8121031746031746
2.0,78.0,0.0001,0.07972094934295075,0.9893636530350266,6.4506677985191345,0.8015873015873015
2.0,79.0,0.0001,0.07159035412050012,0.9902805794975243,5.660539746284485,0.8259920634920634
2.0,80.0,0.0001,0.05459010880042657,0.9906473500825234,6.125976994633675,0.8052579365079365
